restaurantId,itemId,unitPrice,unitDeliveryPrice,array_index,restaurantNumber,addresses.0.administrativeArea,addresses.0.latitude,addresses.0.longitude,Closest_City,City Name,price_per_pound_Cilantro,price_per_pound_Jalapeno,price_per_pound_Lemons,price_per_pound_Limes,price_per_pound_Onions,price_per_pound_Avocados
1617,CMG-1025,5.3,6.9,4,1617,CA,37.444352,-122.170843,San Francisco,San Francisco,0.8166666666666667,1.8333333333333335,1.6765873015873016,5.887499999999999,0.6775,1.033672447
651,CMG-1025,5.6,7.3,4,651,CA,37.554387,-121.981729,San Francisco,San Francisco,0.8166666666666667,1.8333333333333335,1.6765873015873016,5.887499999999999,0.6775,1.033672447
2449,CMG-1025,5.8,7.55,4,2449,CA,37.705657,-121.890836,San Francisco,San Francisco,0.8166666666666667,1.8333333333333335,1.6765873015873016,5.887499999999999,0.6775,1.033672447
2384,CMG-1025,5.8,7.55,4,2384,CA,37.786139,-122.281214,San Francisco,San Francisco,0.8166666666666667,1.8333333333333335,1.6765873015873016,5.887499999999999,0.6775,1.033672447
2048,CMG-1025,5.8,7.55,4,2048,CA,37.994675,-122.105783,San Francisco,San Francisco,0.8166666666666667,1.8333333333333335,1.6765873015873016,5.887499999999999,0.6775,1.033672447
2150,CMG-1025,5.8,7.55,4,2150,CA,36.596934,-121.894483,San Francisco,San Francisco,0.8166666666666667,1.8333333333333335,1.6765873015873016,5.887499999999999,0.6775,1.033672447
299,CMG-1025,5.3,6.9,4,299,CA,37.994695,-121.31342,Sacramento,Sacramento,0.8166666666666667,1.8333333333333335,1.6765873015873016,5.8875,0.6775,0.987465677
2415,CMG-1025,5.8,7.55,4,2415,CA,38.285897,-122.274356,San Francisco,San Francisco,0.8166666666666667,1.8333333333333335,1.6765873015873016,5.887499999999999,0.6775,1.033672447
4014,CMG-1025,5.7,7.4,4,4014,CA,37.579848,-120.941099,Sacramento,Sacramento,0.8166666666666667,1.8333333333333335,1.6765873015873016,5.8875,0.6775,0.987465677
704,CMG-1025,5.6,7.3,4,704,CA,38.594345,-121.28845,Sacramento,Sacramento,0.8166666666666667,1.8333333333333335,1.6765873015873016,5.8875,0.6775,0.987465677
2472,CMG-1025,5.6,7.3,4,2472,CA,38.617043,-121.26897,Sacramento,Sacramento,0.8166666666666667,1.8333333333333335,1.6765873015873016,5.8875,0.6775,0.987465677
3811,CMG-1025,5.3,6.9,4,3811,CA,38.7918,-121.356055,Sacramento,Sacramento,0.8166666666666667,1.8333333333333335,1.6765873015873016,5.8875,0.6775,0.987465677
2746,CMG-1025,5.8,7.55,4,2746,CA,39.151643,-123.199436,Sacramento,Sacramento,0.8166666666666667,1.8333333333333335,1.6765873015873016,5.8875,0.6775,0.987465677
3388,CMG-1025,5.3,6.9,4,3388,CA,39.49758,-121.574464,Sacramento,Sacramento,0.8166666666666667,1.8333333333333335,1.6765873015873016,5.8875,0.6775,0.987465677
1688,CMG-1025,5.6,7.3,4,1688,CA,34.439451,-119.74914,Los Angeles,Los Angeles,0.5111111111111111,1.6861196319018406,1.4965986394557826,1.5860035211267607,0.585,1.22044069
4247,CMG-1025,5.6,7.3,4,4247,CA,35.130966,-118.466885,Los Angeles,Los Angeles,0.5111111111111111,1.6861196319018406,1.4965986394557826,1.5860035211267607,0.585,1.22044069
3219,CMG-1025,5.3,6.9,4,3219,CA,34.188358,-119.222115,Los Angeles,Los Angeles,0.5111111111111111,1.6861196319018406,1.4965986394557826,1.5860035211267607,0.585,1.22044069
2093,CMG-1025,5.6,7.3,4,2093,CA,34.15663,-118.437435,Los Angeles,Los Angeles,0.5111111111111111,1.6861196319018406,1.4965986394557826,1.5860035211267607,0.585,1.22044069
1945,CMG-1025,5.6,7.3,4,1945,CA,34.048562,-118.3367,Los Angeles,Los Angeles,0.5111111111111111,1.6861196319018406,1.4965986394557826,1.5860035211267607,0.585,1.22044069
1913,CMG-1025,5.3,6.9,4,1913,CA,34.06215,-118.291372,Los Angeles,Los Angeles,0.5111111111111111,1.6861196319018406,1.4965986394557826,1.5860035211267607,0.585,1.22044069
3094,CMG-1025,5.6,7.3,4,3094,CA,33.978533,-118.370625,Los Angeles,Los Angeles,0.5111111111111111,1.6861196319018406,1.4965986394557826,1.5860035211267607,0.585,1.22044069
